/*
Afghanistan ,31056997
Albania ,  3581655
Algeria ,32930091
American Samoa ,57794
Andorra ,71201
Angola ,12127071
Anguilla ,13477
Antigua & Barbuda, 69108
Argentina ,39921833
Armenia ,2976372
Aruba ,71891
Australia ,20264082
Austria ,8192880
Azerbaijan ,7961619
Bahamas, 303770
The Bahrain ,698585
Bangladesh ,147365352
Barbados ,279912
Belarus ,10293011
Belgium ,10379067
Belize ,287730
Benin ,7862944
Bermuda, 65773
Bhutan ,2279723
Bolivia ,8989046
Bosnia & Herzegovina ,
Botswana ,4498976
Brazil ,1639833
British Virgin Is. ,188078227
Brunei ,23098
Bulgaria, 379444
Burkina Faso ,7385367
Burma ,13902972
Burundi, 47382633
Cambodia, 8090068
Cameroon ,13881427
Canada ,17340702
Cape Verde ,33098932
Cayman Islands ,420979
Central African Rep. ,45436
Chad, 4303356
Chile, 9944201
China ,16134219
Colombia ,1313973713
Comoros ,43593035
Congo, Dem. Rep. ,690948
Congo, Repub. of the ,62660551
Cook Islands ,3702314
Costa Rica ,21388
Cote d'Ivoire, 4075261
Croatia ,17654843
Cuba ,4494749
Cyprus, 11382820
Czech Republic ,784301
Denmark ,10235455
Djibouti ,5450661
Dominica ,486530
Dominican Republic ,68910
East Timor ,9183984
Ecuador ,1062777
Egypt ,13547510
El Salvador ,78887007
Equatorial Guinea ,6822378
Eritrea ,540109
Estonia ,4786994
Ethiopia ,1324333
Faroe Islands ,74777981
Fiji ,47246
Finland ,905949
France ,5231372
French Guiana ,60876136
French Polynesia ,199509
Gabon ,274578
Gambia, The ,1424906
Gaza Strip , 1641564
Georgia , 1428757
Germany , 4661473
Ghana , 82422299
Gibraltar , 22409572
Greece , 27928
Greenland , 10688058
Grenada , 56361
Guadeloupe , 89703
Guam , 452776
Guatemala , 171019
Guernsey , 12293545
Guinea , 65409
Guinea-Bissau , 9690222
Guyana ,1442029
Haiti , 767245
Honduras , 8308504
Hong Kong , 7326496
Hungary , 6940432
Iceland , 9981334
India , 299388
Indonesia , 1095351995
Iran , 245452739
Iraq , 68688433
Ireland , 26783383
Isle of Man , 4062235
Israel , 75441
Italy , 6352117
Jamaica,  58133509
Japan , 2758124
Jersey , 127463611
Jordan , 91084
Kazakhstan , 5906760
Kenya , 15233244
Kiribati , 34707817
Korea  North , 105432
Korea  South , 23113019
Kuwait , 48846823
Kyrgyzstan , 2418393
Laos , 5213898
Latvia,  6368481
Lebanon,  2274735
Lesotho , 3874050
Liberia , 2022331
Libya , 3042004
Liechtenstein , 5900754
Lithuania , 33987
Luxembourg , 3585906
Macau , 474413
Macedonia , 453125
Madagascar , 2050554
Malawi , 18595469
Malaysia,13013926
Maldives , 24385858
Mali , 359008
Malta , 11716829
Marshall Islands , 400214
Martinique , 60422
Mauritania , 436131
Mauritius , 3177388
Mayotte , 1240827
Mexico , 201234
Micronesia  Fed. St. , 107449525
Moldova , 108004
Monaco , 4466706
Mongolia,  32543
Montserrat , 2832224
Morocco , 9439
Mozambique , 33241259
Namibia , 19686505
Nauru , 2044147
Nepal , 13287
Netherlands , 28287147
Netherlands Antilles , 16491461
New Caledonia , 221736
New Zealand , 219246
Nicaragua , 4076140
Niger , 5570129
Nigeria,  12525094
N. Mariana Islands , 131859731
Norway , 82459
Oman , 4610820
Pakistan , 3102229
Palau , 165803560
Panama , 20579
Papua New Guinea , 3191319
Paraguay , 5670544
Peru , 6506464
Philippines , 28302603
Poland , 89468677
Portugal,  38536869
Puerto Rico , 10605870
Qatar , 3927188
Reunion,  885359
Romania , 787584
Russia , 22303552
Rwanda , 142893540
Saint Helena , 8648248
Saint Kitts & Nevis , 7502
Saint Lucia , 39129
St Pierre & Miquelon , 168458
Saint Vincent and the Grenadines , 7026
Samoa , 117848
San Marino , 176908
Sao Tome & Principe , 29251
Saudi Arabia , 193413
Senegal , 27019731
Serbia , 11987121
Seychelles , 9396411
Sierra Leone,  81541
Singapore , 6005250
Slovakia ,4492150
Slovenia , 5439448
Solomon Islands , 2010347
Somalia , 552438
South Africa , 8863338
Spain , 44187637
Sri Lanka ,40397842
Sudan , 20222240
Suriname , 41236378
